P1_RTT,P1_CWND,P1_inflight,P2_RTT,P2_CWND,P2_inflight
0,46.72,178,0,46.72,25
0,46.72,1375,0,46.72,178
0,46.72,1375,0,46.72,1528
0,46.72,1375,0,46.72,2878
0,46.72,1375,0,46.72,4228
0,46.72,1375,0,46.72,5578
0,46.72,1375,0,46.72,6928
0,46.72,1375,0,46.72,8278
0,46.72,1375,0,46.72,9628
0,46.72,1375,0,46.72,10978
0,46.72,12328,0,46.72,1375
0,46.72,2725,0,46.72,12328
0,46.72,13678,0,46.72,2725
0,46.72,4075,0,46.72,13678
0,46.72,4075,0,46.72,15028
0,46.72,4075,0,46.72,16378
0,46.72,4075,0,46.72,17728
0,46.72,4075,0,46.72,19078
0,46.72,4075,0,46.72,20428
0,46.72,4075,0,46.72,21778
0,46.72,23128,0,46.72,4075
0,46.72,5425,0,46.72,23128
0,46.72,5425,0,46.72,24478
0,46.72,5425,0,46.72,25828
0,46.72,5425,0,46.72,27178
0,46.72,5425,0,46.72,28528
0,46.72,5425,0,46.72,29878
0,46.72,5425,0,46.72,31228
0,46.72,5425,0,46.72,32578
0,46.72,5425,0,46.72,33928
0,46.72,5425,0,46.72,35278
0,46.72,5425,0,46.72,36628
0,46.72,5425,0,46.72,37978
0,46.72,5425,0,46.72,39328
0,46.72,5425,0,46.72,40678
0,46.72,5425,0,46.72,42028
0,46.72,5425,0,46.72,43378
0,46.72,5425,0,46.72,44728
0,46.72,5425,0,46.72,46078
44.683,55.48,54000,75.453,67.16,0
75.453,67.16,0,44.683,55.48,54000
45.681,58.4,51300,75.453,67.16,0
75.453,67.16,0,46.254,61.32,48600
46.327,64.24,45900,75.453,67.16,0
46.297,67.16,43200,75.453,67.16,0
46.609,70.08,40500,75.453,67.16,0
47.059,73,37800,75.453,67.16,0
47.526,73,35100,75.453,67.16,0
47.94,73,32400,75.453,67.16,0
48.325,73,29700,75.453,67.16,0
48.722,73,27000,75.453,67.16,0
49.086,73,24300,75.453,67.16,0
49.532,73,21600,75.453,67.16,0
49.532,73,21600,75.453,67.16,0
49.532,73,21600,75.453,67.16,1350
49.532,73,21600,75.453,67.16,2700
49.532,73,21600,75.453,67.16,4050
49.532,73,21600,75.453,67.16,5400
49.532,73,21600,75.453,67.16,6750
49.532,73,21600,75.453,67.16,8100
49.532,73,21600,75.453,67.16,9450
49.532,73,21600,75.453,67.16,10800
75.453,67.16,12150,49.532,73,21600
49.532,73,22950,75.453,67.16,12150
49.532,73,22950,75.453,67.16,13500
75.453,67.16,14850,49.532,73,22950
49.532,73,24300,75.453,67.16,14850
49.532,73,24300,75.453,67.16,16200
49.532,73,24300,75.453,67.16,17550
49.532,73,24300,75.453,67.16,18900
49.532,73,24300,75.453,67.16,20250
49.532,73,24300,75.453,67.16,21600
49.532,73,24300,75.453,67.16,22950
75.453,67.16,24300,49.532,73,24300
49.532,73,25650,75.453,67.16,24300
49.532,73,25650,75.453,67.16,25650
49.532,73,25650,75.453,67.16,27000
49.532,73,25650,75.453,67.16,28350
49.532,73,25650,75.453,67.16,29700
49.532,73,25650,75.453,67.16,31050
49.532,73,25650,75.453,67.16,32400
75.453,67.16,33750,49.532,73,25650
49.532,73,27000,75.453,67.16,33750
49.532,73,27000,75.453,67.16,35100
49.532,73,27000,75.453,67.16,36450
49.532,73,27000,75.453,67.16,37800
75.453,67.16,39150,49.532,73,27000
49.532,73,28350,75.453,67.16,39150
49.532,73,28350,75.453,67.16,40500
49.532,73,28350,75.453,67.16,41850
49.532,73,28350,75.453,67.16,43200
49.532,73,28350,75.453,67.16,44550
49.532,73,28350,75.453,67.16,45900
49.532,73,28350,75.453,67.16,47250
49.532,73,28350,75.453,67.16,48600
49.532,73,28350,75.453,67.16,49950
49.532,73,28350,75.453,67.16,51300
49.532,73,28350,75.453,67.16,52650
49.532,73,28350,75.453,67.16,54000
49.532,73,28350,75.453,67.16,55350
49.532,73,28350,75.453,67.16,56700
49.532,73,28350,75.453,67.16,58050
49.532,73,28350,75.453,67.16,59400
75.453,67.16,60750,49.532,73,28350
49.532,73,29700,75.453,67.16,60750
49.532,73,29700,75.453,67.16,62100
75.453,67.16,63450,49.532,73,29700
49.532,73,31050,75.453,67.16,63450
75.453,67.16,64800,49.532,73,31050
49.532,73,32400,75.453,67.16,64800
49.532,73,32400,75.453,67.16,66150
48.388,86.14,0,74.628,68.62,66150
74.582,71.54,63450,48.388,86.14,0
48.388,86.14,0,74.399,74.46,60750
48.388,86.14,0,74.547,77.38,58050
48.388,86.14,0,74.421,80.3,55350
48.388,86.14,0,74.383,83.22,52650
48.388,86.14,0,74.349,86.14,49950
48.388,86.14,0,74.363,89.06,47250
48.388,86.14,0,74.391,90.52,44550
48.388,86.14,0,74.313,90.52,41850
48.388,86.14,0,74.292,90.52,39150
48.388,86.14,0,74.347,90.52,36450
48.388,86.14,0,74.237,90.52,33750
48.388,86.14,0,74.302,90.52,31050
48.388,86.14,0,74.343,90.52,28350
48.388,86.14,0,74.301,90.52,25650
48.388,86.14,0,74.391,90.52,22950
74.44,90.52,20250,48.388,86.14,0
48.388,86.14,0,74.485,90.52,17550
48.388,86.14,0,74.485,90.52,17550
74.485,90.52,17550,48.388,86.14,0
48.388,86.14,0,74.531,90.52,14850
48.388,86.14,0,74.598,90.52,12150
48.388,86.14,0,74.671,90.52,9450
74.738,90.52,6750,48.388,86.14,0
48.388,86.14,0,74.738,90.52,6750
48.388,86.14,0,74.673,90.52,4050
48.388,86.14,0,74.619,90.52,1350
48.388,86.14,0,74.619,90.52,1350
74.619,90.52,2700,48.388,86.14,0
48.388,86.14,1350,74.619,90.52,2700
48.388,86.14,1350,74.619,90.52,4050
48.388,86.14,1350,74.619,90.52,5400
48.388,86.14,1350,74.619,90.52,6750
48.388,86.14,1350,74.619,90.52,8100
74.619,90.52,9450,48.388,86.14,1350
48.388,86.14,2700,74.619,90.52,9450
74.619,90.52,10800,48.388,86.14,2700
48.388,86.14,4050,74.619,90.52,10800
48.388,86.14,4050,74.619,90.52,12150
48.388,86.14,4050,74.619,90.52,13500
74.619,90.52,14850,48.388,86.14,4050
48.388,86.14,5400,74.619,90.52,14850
74.619,90.52,16200,48.388,86.14,5400
48.388,86.14,6750,74.619,90.52,16200
48.388,86.14,6750,74.619,90.52,17550
48.388,86.14,6750,74.619,90.52,18900
48.388,86.14,6750,74.619,90.52,20250
48.388,86.14,6750,74.619,90.52,21600
48.388,86.14,6750,74.619,90.52,22950
48.388,86.14,6750,74.619,90.52,24300
48.388,86.14,6750,74.619,90.52,25650
48.388,86.14,6750,74.619,90.52,27000
48.388,86.14,6750,74.619,90.52,28350
48.388,86.14,6750,74.619,90.52,29700
48.388,86.14,6750,74.619,90.52,31050
74.619,90.52,32400,48.388,86.14,6750
74.619,90.52,32400,48.388,86.14,8100
48.388,86.14,9450,74.619,90.52,32400
48.388,86.14,9450,74.619,90.52,33750
48.388,86.14,9450,74.619,90.52,35100
48.388,86.14,9450,74.619,90.52,36450
48.388,86.14,9450,74.619,90.52,37800
48.388,86.14,9450,74.619,90.52,39150
48.388,86.14,9450,74.619,90.52,40500
48.388,86.14,9450,74.619,90.52,41850
74.619,90.52,43200,48.388,86.14,9450
48.388,86.14,10800,74.619,90.52,43200
48.388,86.14,10800,74.619,90.52,44550
48.388,86.14,10800,74.619,90.52,45900
48.388,86.14,10800,74.619,90.52,47250
48.388,86.14,10800,74.619,90.52,48600
48.388,86.14,10800,74.619,90.52,49950
48.388,86.14,10800,74.619,90.52,51300
48.388,86.14,10800,74.619,90.52,52650
74.619,90.52,54000,48.388,86.14,10800
48.388,86.14,12150,74.619,90.52,54000
48.388,86.14,12150,74.619,90.52,55350
48.388,86.14,12150,74.619,90.52,56700
48.388,86.14,12150,74.619,90.52,58050
48.388,86.14,12150,74.619,90.52,59400
74.619,90.52,60750,48.388,86.14,12150
48.388,86.14,13500,74.619,90.52,60750
48.388,86.14,13500,74.619,90.52,62100
48.388,86.14,13500,74.619,90.52,63450
74.619,90.52,64800,48.388,86.14,13500
48.388,86.14,14850,74.619,90.52,64800
48.388,86.14,14850,74.619,90.52,66150
48.388,86.14,14850,74.619,90.52,67500
74.619,90.52,68850,48.388,86.14,14850
48.388,86.14,16200,74.619,90.52,68850
48.388,86.14,16200,74.619,90.52,70200
48.388,86.14,16200,74.619,90.52,71550
74.619,90.52,72900,48.388,86.14,16200
48.388,86.14,17550,74.619,90.52,72900
48.388,86.14,17550,74.619,90.52,74250
48.388,86.14,17550,74.619,90.52,75600
48.388,86.14,17550,74.619,90.52,76950
48.388,86.14,17550,74.619,90.52,78300
48.388,86.14,17550,74.619,90.52,79650
48.388,86.14,17550,74.619,90.52,81000
48.388,86.14,17550,74.619,90.52,82350
48.388,86.14,17550,74.619,90.52,83700
74.619,90.52,85050,48.388,86.14,17550
48.388,86.14,18900,74.619,90.52,85050
48.388,86.14,18900,74.619,90.52,86400
48.388,86.14,18900,74.619,90.52,87750
48.388,86.14,18900,74.619,90.52,89100
48.388,86.14,18900,74.619,90.52,90450
54.819,144.54,42506,74.336,94.9,90450
54.819,144.54,42506,74.749,97.82,87750
54.819,144.54,42506,74.937,100.74,85050
54.819,144.54,42506,74.736,103.66,82350
75.023,106.58,79650,54.819,144.54,42506
54.819,144.54,42506,74.814,109.5,76950
54.819,144.54,42506,75.304,112.42,74250
54.819,144.54,42506,75.171,115.34,71550
54.819,144.54,42506,75.014,118.26,68850
54.819,144.54,42506,74.919,121.18,66150
54.819,144.54,42506,74.809,124.1,63450
54.819,144.54,42506,74.808,125.56,60750
54.819,144.54,42506,74.837,125.56,58050
54.819,144.54,42506,74.876,125.56,55350
74.869,125.56,52650,54.819,144.54,42506
54.819,144.54,42506,75.368,125.56,49950
54.819,144.54,42506,75.641,125.56,47250
54.819,144.54,42506,75.607,125.56,44550
54.819,144.54,42506,75.607,125.56,44550
54.819,144.54,42506,75.796,125.56,41850
54.819,144.54,42506,75.637,125.56,39150
54.819,144.54,42506,75.507,125.56,36450
54.819,144.54,42506,75.379,125.56,33750
54.819,144.54,42506,75.322,125.56,31050
75.721,125.56,28350,54.819,144.54,42506
54.819,144.54,42506,75.62,125.56,25650
75.519,125.56,22950,54.819,144.54,42506
75.469,125.56,20250,54.819,144.54,42506
75.393,125.56,17550,54.819,144.54,42506
75.465,125.56,14850,54.819,144.54,42506
54.819,144.54,42506,75.54,125.56,12150
54.819,144.54,42506,75.582,125.56,9450
54.819,144.54,42506,75.604,125.56,6750
75.601,125.56,4050,54.819,144.54,42506
54.819,144.54,42506,75.601,125.56,4050
54.819,144.54,42506,75.601,125.56,5400
54.819,144.54,42506,75.601,125.56,6750
54.819,144.54,42506,75.601,125.56,8100
54.819,144.54,42506,75.601,125.56,9450
54.819,144.54,42506,75.601,125.56,10800
54.819,144.54,42506,75.601,125.56,12150
54.819,144.54,42506,75.601,125.56,13500
54.819,144.54,42506,75.601,125.56,14850
54.819,144.54,42506,75.601,125.56,16200
54.819,144.54,42506,75.601,125.56,17550
54.819,144.54,42506,75.601,125.56,18900
54.819,144.54,42506,75.601,125.56,20250
54.819,144.54,42506,75.601,125.56,21600
54.819,144.54,42506,75.601,125.56,22950
54.819,144.54,42506,75.601,125.56,24300
54.819,144.54,42506,75.601,125.56,25650
54.819,144.54,42506,75.601,125.56,27000
75.601,125.56,28350,54.819,144.54,42506
54.819,144.54,43856,75.601,125.56,28350
75.601,125.56,29700,54.819,144.54,43856
54.819,144.54,45206,75.601,125.56,29700
54.819,144.54,45206,75.601,125.56,31050
54.819,144.54,45206,75.601,125.56,32400
54.819,144.54,45206,75.601,125.56,33750
54.819,144.54,45206,75.601,125.56,35100
54.819,144.54,45206,75.601,125.56,36450
54.819,144.54,45206,75.601,125.56,37800
54.819,144.54,45206,75.601,125.56,39150
54.819,144.54,45206,75.601,125.56,40500
54.819,144.54,45206,75.601,125.56,41850
54.819,144.54,45206,75.601,125.56,43200
54.819,144.54,45206,75.601,125.56,44550
54.819,144.54,45206,75.601,125.56,45900
75.601,125.56,47250,54.819,144.54,45206
75.601,125.56,47250,54.819,144.54,46556
54.819,144.54,47906,75.601,125.56,47250
75.601,125.56,48600,54.819,144.54,47906
54.819,144.54,49256,75.601,125.56,48600
54.819,144.54,49256,75.601,125.56,49950
54.819,144.54,49256,75.601,125.56,51300
54.819,144.54,49256,75.601,125.56,52650
54.819,144.54,49256,75.601,125.56,54000
54.819,144.54,49256,75.601,125.56,55350
54.819,144.54,49256,75.601,125.56,56700
54.819,144.54,49256,75.601,125.56,58050
54.819,144.54,49256,75.601,125.56,59400
54.819,144.54,49256,75.601,125.56,60750
54.819,144.54,49256,75.601,125.56,62100
54.819,144.54,49256,75.601,125.56,63450
54.819,144.54,49256,75.601,125.56,64800
54.819,144.54,49256,75.601,125.56,66150
54.819,144.54,49256,75.601,125.56,67500
75.601,125.56,68850,54.819,144.54,49256
54.819,144.54,50606,75.601,125.56,68850
54.819,144.54,50606,75.601,125.56,70200
54.819,144.54,50606,75.601,125.56,71550
54.819,144.54,50606,75.601,125.56,72900
54.819,144.54,50606,75.601,125.56,74250
54.819,144.54,50606,75.601,125.56,75600
54.819,144.54,50606,75.601,125.56,76950
54.819,144.54,50606,75.601,125.56,78300
54.819,144.54,50606,75.601,125.56,79650
54.819,144.54,50606,75.601,125.56,81000
54.819,144.54,50606,75.601,125.56,82350
54.819,144.54,50606,75.601,125.56,83700
54.819,144.54,50606,75.601,125.56,85050
54.819,144.54,50606,75.601,125.56,86400
54.819,144.54,50606,75.601,125.56,87750
54.819,144.54,50606,75.601,125.56,89100
54.819,144.54,50606,75.601,125.56,90450
75.601,125.56,91800,54.819,144.54,50606
54.819,144.54,51956,75.601,125.56,91800
75.601,125.56,93150,54.819,144.54,51956
54.819,144.54,53306,75.601,125.56,93150
75.601,125.56,94500,54.819,144.54,53306
75.601,125.56,94500,54.819,144.54,54656
54.819,144.54,56006,75.601,125.56,94500
54.819,144.54,56006,75.601,125.56,95850
54.819,144.54,56006,75.601,125.56,97200
54.819,144.54,56006,75.601,125.56,98550
54.819,144.54,56006,75.601,125.56,99900
54.819,144.54,56006,75.601,125.56,101250
54.819,144.54,56006,75.601,125.56,102600
54.819,144.54,56006,75.601,125.56,103950
54.819,144.54,56006,75.601,125.56,105300
54.819,144.54,56006,75.601,125.56,106650
54.819,144.54,56006,75.601,125.56,108000
54.819,144.54,56006,75.601,125.56,109350
54.819,144.54,56006,75.601,125.56,110700
54.819,144.54,56006,75.601,125.56,112050
54.819,144.54,56006,75.601,125.56,113400
54.819,144.54,56006,75.601,125.56,114750
54.819,144.54,56006,75.601,125.56,116100
54.819,144.54,56006,75.601,125.56,117450
54.819,144.54,56006,75.601,125.56,118800
54.819,144.54,56006,75.601,125.56,120150
54.819,144.54,56006,75.601,125.56,121500
54.819,144.54,56006,75.601,125.56,122850
75.601,125.56,124200,54.819,144.54,56006
54.819,144.54,57356,75.601,125.56,124200
54.819,144.54,57356,75.601,125.56,125550
57.993,303.68,195044,74.467,132.86,128250
57.993,303.68,195044,74.36,135.78,125550
57.993,303.68,195044,74.36,135.78,125550
57.993,303.68,195044,74.425,138.7,122850
57.993,303.68,195044,74.519,141.62,120150
74.713,144.54,117450,57.993,303.68,195044
57.993,303.68,195044,74.713,144.54,117450
74.713,144.54,117450,57.993,303.68,195044
57.993,303.68,195044,75.09,147.46,114750
57.993,303.68,195044,74.989,150.38,112050
57.993,303.68,195044,76.056,153.3,109350
57.993,303.68,195044,76.056,153.3,109350
57.993,303.68,195044,76.056,153.3,109350
57.993,303.68,195044,76.554,156.22,106650
57.993,303.68,195044,76.282,159.14,103950
57.993,303.68,195044,76.166,162.06,101250
57.993,303.68,195044,75.987,164.98,98550
57.993,303.68,195044,76.595,167.9,95850
57.993,303.68,195044,76.552,170.82,93150
76.552,170.82,93150,57.993,303.68,195044
76.541,173.74,90450,57.993,303.68,195044
57.993,303.68,195044,76.723,176.66,87750
57.993,303.68,195044,76.723,176.66,87750
57.993,303.68,195044,76.587,176.66,85050
57.993,303.68,195044,76.587,176.66,85050
57.993,303.68,195044,77.113,176.66,82350
57.993,303.68,195044,77.099,176.66,79650
57.993,303.68,195044,77.099,176.66,79650
57.993,303.68,195044,77.097,176.66,76950
57.993,303.68,195044,77.13,176.66,74250
57.993,303.68,195044,77.13,176.66,74250
57.993,303.68,195044,77.21,176.66,71550
57.993,303.68,195044,77.215,176.66,68850
57.993,303.68,195044,77.215,176.66,68850
57.993,303.68,195044,77.296,176.66,66150
57.993,303.68,195044,77.23,176.66,63450
69.686,306.6,192344,77.23,176.66,63450
69.686,306.6,192344,77.342,176.66,60750
69.686,306.6,192344,77.217,176.66,58050
77.095,176.66,55350,69.686,306.6,192344
69.906,309.52,189644,77.095,176.66,55350
69.906,309.52,189644,77.068,176.66,52650
69.906,309.52,189644,77.157,176.66,49950
77.157,176.66,49950,70.176,312.44,186944
70.176,312.44,186944,77.056,176.66,47250
70.176,312.44,186944,77.149,176.66,44550
70.176,312.44,186944,76.911,176.66,41850
70.408,315.36,184244,76.911,176.66,41850
70.408,315.36,184244,77.232,176.66,39150
71.562,318.28,181544,77.232,176.66,39150
71.562,318.28,181544,77.705,176.66,36450
71.562,318.28,181544,77.591,176.66,33750
71.562,318.28,181544,77.591,176.66,33750
71.562,318.28,181544,77.591,176.66,33750
71.562,318.28,181544,78.532,176.66,31050
72.787,321.2,178844,78.532,176.66,31050
72.787,321.2,178844,78.611,176.66,28350
72.787,321.2,178844,78.516,176.66,25650
78.516,176.66,25650,72.947,324.12,176144
72.947,324.12,176144,78.486,176.66,22950
72.947,324.12,176144,78.458,176.66,20250
72.947,324.12,176144,78.337,176.66,17550
73.191,327.04,173444,78.337,176.66,17550
73.191,327.04,173444,78.277,176.66,14850
78.187,176.66,12150,73.191,327.04,173444
73.304,329.96,170744,78.187,176.66,12150
73.304,329.96,170744,78.033,176.66,9450
73.346,332.88,168044,78.033,176.66,9450
73.317,334.34,165344,78.033,176.66,9450
73.239,334.34,162644,78.033,176.66,9450
73.313,334.34,159944,78.033,176.66,9450
73.313,334.34,159944,78.033,176.66,9450
78.033,176.66,10800,73.313,334.34,159944
73.313,334.34,161294,78.033,176.66,10800
73.313,334.34,161294,78.033,176.66,12150
78.033,176.66,13500,73.313,334.34,161294
73.313,334.34,162644,78.033,176.66,13500
73.313,334.34,162644,78.033,176.66,14850
73.313,334.34,162644,78.033,176.66,16200
73.313,334.34,162644,78.033,176.66,17550
73.313,334.34,162644,78.033,176.66,18900
78.033,176.66,20250,73.313,334.34,162644
73.313,334.34,163994,78.033,176.66,20250
73.313,334.34,163994,78.033,176.66,21600
73.313,334.34,163994,78.033,176.66,22950
73.313,334.34,163994,78.033,176.66,24300
78.033,176.66,25650,73.313,334.34,163994
73.313,334.34,165344,78.033,176.66,25650
73.313,334.34,165344,78.033,176.66,27000
73.313,334.34,165344,78.033,176.66,28350
73.313,334.34,165344,78.033,176.66,29700
73.313,334.34,165344,78.033,176.66,31050
73.313,334.34,165344,78.033,176.66,32400
73.313,334.34,165344,78.033,176.66,33750
78.033,176.66,35100,73.313,334.34,165344
73.313,334.34,166694,78.033,176.66,35100
73.313,334.34,166694,78.033,176.66,36450
73.313,334.34,166694,78.033,176.66,37800
73.313,334.34,166694,78.033,176.66,39150
73.313,334.34,166694,78.033,176.66,40500
73.313,334.34,166694,78.033,176.66,41850
73.313,334.34,166694,78.033,176.66,43200
78.033,176.66,44550,73.313,334.34,166694
78.033,176.66,44550,73.313,334.34,168044
73.313,334.34,169394,78.033,176.66,44550
73.313,334.34,169394,78.033,176.66,45900
73.313,334.34,169394,78.033,176.66,47250
73.313,334.34,169394,78.033,176.66,48600
73.313,334.34,169394,78.033,176.66,49950
73.313,334.34,169394,78.033,176.66,51300
78.033,176.66,52650,73.313,334.34,169394
78.033,176.66,52650,73.313,334.34,170744
73.313,334.34,172094,78.033,176.66,52650
73.313,334.34,172094,78.033,176.66,54000
73.313,334.34,172094,78.033,176.66,55350
73.313,334.34,172094,78.033,176.66,56700
73.313,334.34,172094,78.033,176.66,58050
73.313,334.34,172094,78.033,176.66,59400
73.313,334.34,172094,78.033,176.66,60750
73.313,334.34,172094,78.033,176.66,62100
73.313,334.34,172094,78.033,176.66,63450
73.313,334.34,172094,78.033,176.66,64800
73.313,334.34,172094,78.033,176.66,66150
73.313,334.34,172094,78.033,176.66,67500
73.313,334.34,172094,78.033,176.66,68850
73.313,334.34,172094,78.033,176.66,70200
73.313,334.34,172094,78.033,176.66,71550
73.313,334.34,172094,78.033,176.66,72900
73.313,334.34,172094,78.033,176.66,74250
73.313,334.34,172094,78.033,176.66,75600
73.313,334.34,172094,78.033,176.66,76950
73.313,334.34,172094,78.033,176.66,78300
73.313,334.34,172094,78.033,176.66,79650
73.313,334.34,172094,78.033,176.66,81000
73.313,334.34,172094,78.033,176.66,82350
73.313,334.34,172094,78.033,176.66,83700
73.313,334.34,172094,78.033,176.66,85050
73.313,334.34,172094,78.033,176.66,86400
73.313,334.34,172094,78.033,176.66,87750
73.313,334.34,172094,78.033,176.66,89100
73.313,334.34,172094,78.033,176.66,90450
73.313,334.34,172094,78.033,176.66,91800
73.313,334.34,172094,78.033,176.66,93150
73.313,334.34,172094,78.033,176.66,94500
73.313,334.34,172094,78.033,176.66,95850
73.313,334.34,172094,78.033,176.66,97200
78.033,176.66,98550,73.313,334.34,172094
73.313,334.34,173444,78.033,176.66,98550
73.313,334.34,173444,78.033,176.66,99900
73.313,334.34,173444,78.033,176.66,101250
73.313,334.34,173444,78.033,176.66,102600
73.313,334.34,173444,78.033,176.66,103950
73.313,334.34,173444,78.033,176.66,105300
73.313,334.34,173444,78.033,176.66,106650
73.313,334.34,173444,78.033,176.66,108000
73.313,334.34,173444,78.033,176.66,109350
73.313,334.34,173444,78.033,176.66,110700
73.313,334.34,173444,78.033,176.66,112050
73.313,334.34,173444,78.033,176.66,113400
73.313,334.34,173444,78.033,176.66,114750
73.313,334.34,173444,78.033,176.66,116100
73.313,334.34,173444,78.033,176.66,117450
73.313,334.34,173444,78.033,176.66,118800
73.313,334.34,173444,78.033,176.66,120150
73.313,334.34,173444,78.033,176.66,121500
73.313,334.34,173444,78.033,176.66,122850
73.313,334.34,173444,78.033,176.66,124200
73.313,334.34,173444,78.033,176.66,125550
73.313,334.34,173444,78.033,176.66,126900
73.313,334.34,173444,78.033,176.66,128250
73.313,334.34,173444,78.033,176.66,129600
73.313,334.34,173444,78.033,176.66,130950
73.313,334.34,173444,78.033,176.66,132300
73.313,334.34,173444,78.033,176.66,133650
73.313,334.34,173444,78.033,176.66,135000
73.313,334.34,173444,78.033,176.66,136350
73.313,334.34,173444,78.033,176.66,137700
73.313,334.34,173444,78.033,176.66,139050
73.313,334.34,173444,78.033,176.66,140400
73.313,334.34,173444,78.033,176.66,141750
73.313,334.34,173444,78.033,176.66,143100
73.313,334.34,173444,78.033,176.66,144450
73.313,334.34,173444,78.033,176.66,145800
78.033,176.66,147150,73.313,334.34,173444
73.313,334.34,174794,78.033,176.66,147150
73.313,334.34,174794,78.033,176.66,148500
73.313,334.34,174794,78.033,176.66,149850
73.313,334.34,174794,78.033,176.66,151200
73.313,334.34,174794,78.033,176.66,152550
73.313,334.34,174794,78.033,176.66,153900
73.313,334.34,174794,78.033,176.66,155250
